node_id,true_label,pred_label,anomaly_score
0,1,0,0.08282562
1,0,0,4.951969e-05
2,0,0,3.5654924e-05
3,0,0,5.7564193e-05
4,0,0,2.5841073e-05
5,0,0,0.000896627
6,0,0,3.5843892e-05
7,0,0,1.9761645e-08
8,0,0,0.0032514294
9,0,0,0.00073563936
10,0,0,3.3148503e-05
11,0,0,3.0331179e-05
12,0,0,0.000115330025
13,1,1,0.9997094
14,0,0,0.018488888
15,0,0,2.5817844e-05
16,0,0,3.0331179e-05
17,0,0,2.7588261e-05
18,0,0,2.9285218e-05
19,0,0,2.9523371e-05
20,0,0,0.00038128608
21,0,0,0.00010638654
22,0,0,9.474275e-09
23,0,0,0.00010702188
24,0,0,2.8582248e-05
25,0,0,2.8722614e-05
26,0,0,2.8722614e-05
27,1,1,0.9998996
28,0,0,0.0019805206
29,0,0,8.9301044e-05
30,1,0,0.018304227
31,0,1,0.5081844
32,0,0,0.0035733005
33,0,0,0.0007052762
34,0,1,0.5081843
35,0,1,0.5081843
36,0,1,0.5081843
37,0,1,0.5081843
38,0,1,0.5081844
39,0,1,0.5081844
40,0,1,0.5081844
41,0,1,0.5081844
42,0,1,0.5081844
43,0,1,0.5081844
44,0,1,0.5081844
45,0,1,0.5081843
46,0,1,0.5081844
47,1,1,0.5081843
48,0,1,0.5081843
49,0,0,0.00023719025
50,0,1,0.5081843
51,0,0,0.00066117203
52,0,0,3.2939737e-05
53,0,1,0.5081844
54,0,0,0.00066117203
55,0,0,0.00030285993
56,0,0,0.00066117203
57,0,1,0.5081844
58,0,0,0.00066117203
59,0,0,0.0004105062
60,0,0,0.00066117203
