seq_label,lstm_ae_pred,lstm_ae_score
0,0,0.21601732884366998
0,0,0.1521563120056862
0,0,0.14644251463046185
0,0,0.14622868751016832
0,0,0.1055974929167719
0,0,0.09901207645445607
1,0,0.09079004360715687
1,0,0.13611157537793928
1,0,0.23118401346796347
1,0,0.24981903027091082
1,0,0.3414151031083259
1,0,0.3833304887511922
1,0,0.3965612765847915
1,0,0.43544009012657475
1,0,0.46235272544464945
1,0,0.4524878195242739
1,0,0.3788331021404933
1,0,0.34461760672340697
0,0,0.26101128542680446
0,0,0.2206386931020766
0,0,0.20998189944518778
0,0,0.23418171056989467
0,0,0.22731637297601617
0,0,0.21904629710683468
0,0,0.2101581314105094
0,0,0.1795825858389977
0,0,0.19374175714332137
1,0,0.11535009445071871
1,0,0.1252197591742701
1,0,0.09934257106380771
1,0,0.11438810419964872
1,0,0.1689548493525845
1,0,0.2272184980550755
1,0,0.4242112946554
1,0,0.5037867128809509
1,0,0.5896963445855858
1,1,0.6711412899909007
1,0,0.6480880523262883
1,0,0.6368174169906977
1,0,0.6074782454469599
1,0,0.6185420354256779
1,0,0.5388591385909074
1,0,0.4457863054780858
1,0,0.3800445435622322
1,0,0.32562890023335067
1,0,0.2773148396725429
0,0,0.16913860733499803
0,0,0.22656568095162213
0,0,0.27791756337243384
0,0,0.27344291500594237
0,0,0.24228147426964902
0,0,0.2429978899790917
0,0,0.24161155691622344
1,0,0.21766270627100118
1,0,0.22072450942117533
1,0,0.23618294616276872
1,0,0.21934674062339152
1,0,0.20721454877152545
1,0,0.24481579407740653
1,0,0.24223783677011465
1,0,0.31826301224403264
1,0,0.37248273430627116
1,0,0.5993965756595985
1,1,0.6880923862163275
1,1,0.7915958894986759
1,1,0.896305176137874
1,1,1.0070923202364017
1,1,1.124147201884051
1,1,1.0778864653393645
1,1,1.0088029564241092
1,1,0.8682054166340403
1,1,0.7725831335133707
1,0,0.6584706667000192
1,0,0.5507851613262101
1,0,0.4595568850839618
1,0,0.4365348425992523
1,0,0.32072609768615506
1,0,0.15741108263249842
1,0,0.16652890465129752
1,0,0.2016384373988226
1,0,0.31064867515462313
1,0,0.35731601156663806
1,0,0.33376348967547836
1,0,0.3770540392874663
1,0,0.42893838509397164
1,0,0.4969592384043793
1,0,0.4610174172320481
0,0,0.44320529697174194
0,0,0.49499111279960956
0,0,0.499769588761384
0,0,0.3503566739590746
0,0,0.3990985298000516
0,0,0.3677140126653534
0,0,0.21564060898053913
0,0,0.12549457323134777
0,0,0.14997487714693344
0,0,0.14155516385608807
0,0,0.13372108167673666
0,0,0.1239425470612737
0,0,0.11391081637071938
0,0,0.06641693436312941
0,0,0.0884337562525125
0,0,0.09552206034855902
0,0,0.08325333498917638
0,0,0.12636104404100126
0,0,0.1149488468538802
0,0,0.11582337990845272
0,0,0.15565785751606337
0,0,0.20356495387137152
0,0,0.19471225959107677
0,0,0.17964331414794854
0,0,0.171471878529545
0,0,0.16449486916197195
0,0,0.10918053039524837
0,0,0.12176316718677323
0,0,0.12306250619047121
0,0,0.10402290694703951
0,0,0.09043517892187466
0,0,0.1761037588285759
0,0,0.16453691081795938
0,0,0.17644458969248034
0,0,0.20507529132166452
0,0,0.20835993661100502
0,0,0.21695212776517872
0,0,0.2205879925446296
0,0,0.29066474025040734
0,0,0.2643029305401931
0,0,0.2455063029370134
0,0,0.30085085305098963
0,0,0.33290761298928645
0,0,0.3277717288173116
0,0,0.36125515790162277
0,0,0.3521908175236707
0,0,0.3644558704362405
0,0,0.3514407638109461
0,0,0.3312124185762448
0,0,0.308693948949157
0,0,0.30131808884861067
0,0,0.17043996966224342
0,0,0.14616139870791445
0,0,0.1348372942487374
0,0,0.1922692130362878
0,0,0.2525398899961788
0,0,0.19957830674681246
0,0,0.2003643912373601
0,0,0.16923972877055093
0,0,0.14935751575357845
0,0,0.18753841083639147
0,0,0.2786246240335901
0,0,0.2690994269141162
0,0,0.2505834399584213
0,0,0.1748864789582045
0,0,0.15205133096937778
0,0,0.1339556623533476
0,0,0.14644248132664875
0,0,0.1530404084665841
0,0,0.12286677843178873
0,0,0.061333814818269286
0,0,0.15835701266000776
