if_score,lstm_score,fusion_score,severity,anomaly
0.1559810443444572,0.0,0.10138767882389718,WEAK,False
0.09993600865607732,0.0,0.06495840562645026,WEAK,False
0.09905332741746553,0.0,0.06438466282135259,WEAK,False
0.11410491677896839,0.0,0.07416819590632946,WEAK,False
0.10956589887262769,0.0,0.071217834267208,WEAK,False
0.08945779888324223,0.0,0.058147569274107455,WEAK,False
0.09872132289470914,0.0,0.06416885988156094,WEAK,False
0.13308445961988785,0.0,0.0865048987529271,WEAK,False
0.13211220884752345,0.0,0.08587293575089025,WEAK,False
0.13086358751763727,0.0,0.08506133188646423,WEAK,False
0.13017976973715212,0.21601732884366998,0.18597418315638875,WEAK,False
0.1412412125881456,0.1521563120056862,0.14833602720954697,WEAK,False
0.15295507235628053,0.14644251463046185,0.150675677152244,WEAK,False
0.17710829204430395,0.14622868751016832,0.16630043045735649,WEAK,False
0.19075380171575412,0.1055974929167719,0.16094909363611035,WEAK,False
0.21004908647737625,0.09901207645445607,0.1711861329693542,WEAK,False
0.12134862827320264,0.09079004360715687,0.11065312364008661,WEAK,False
0.22811674446153113,0.13611157537793928,0.195914935282274,WEAK,False
0.11093727007903281,0.23118401346796347,0.18909765328183772,WEAK,False
0.14321889188078601,0.24981903027091082,0.21250898183436714,WEAK,False
0.09938181158873932,0.3414151031083259,0.2567034510764706,WEAK,False
0.14098919016623057,0.3833304887511922,0.29851103424645564,WEAK,False
0.10508443504931103,0.3965612765847915,0.2945443820473734,WEAK,False
0.09977175330609406,0.43544009012657475,0.31795617223940653,WEAK,False
0.10896305644896076,0.46235272544464945,0.3386663412961584,WEAK,False
0.09439119013770875,0.4524878195242739,0.32715399923897615,WEAK,False
0.16342380996246691,0.3788331021404933,0.30343984987818406,WEAK,False
0.14601607377851517,0.34461760672340697,0.27510707019269487,WEAK,False
0.10617222783692498,0.26101128542680446,0.20681761527034664,WEAK,False
0.1620222148237605,0.2206386931020766,0.20012292570466594,WEAK,False
0.11777115248893533,0.20998189944518778,0.17770813801049942,WEAK,False
0.10535409697785808,0.23418171056989467,0.18909204581268188,WEAK,False
0.11716727167144325,0.22731637297601617,0.18876418751941565,WEAK,False
0.13186295757698613,0.21904629710683468,0.1885321282713877,WEAK,False
0.16395867215611254,0.2101581314105094,0.1939883206714705,WEAK,False
0.18216572076448762,0.1795825858389977,0.18126162354056613,WEAK,False
0.21396819058163724,0.19374175714332137,0.20688893887822668,WEAK,False
0.23876345977801267,0.11535009445071871,0.19556878191345978,WEAK,False
0.2546496706419456,0.1252197591742701,0.20934920162825918,WEAK,False
0.2658794337262695,0.09934257106380771,0.20759153179440787,WEAK,False
0.27323178192652303,0.1143881002078329,0.21763649332498147,WEAK,False
0.1113226933427805,0.1689549212675563,0.14878364149388476,WEAK,False
0.28030462182930277,0.2272184980550755,0.2617244785083232,WEAK,False
0.2846221389941895,0.4242112946554,0.3753550901739763,MODERATE,False
0.2854715970237062,0.5037867128809509,0.4273764223309153,MODERATE,False
0.29016421856214974,0.5896963445855858,0.4848601004773832,MODERATE,False
0.13891364928865407,0.6711412899909007,0.48486161574511444,MODERATE,False
0.11623027740168246,0.6480880523262883,0.4619378311026763,MODERATE,False
0.10716158122340502,0.6368174169906977,0.4514378744721453,MODERATE,False
0.1125735655901805,0.6074782454469599,0.43426160749708714,MODERATE,False
0.11330838263915649,0.6185420354256779,0.4417102569503954,MODERATE,False
0.12468184626036988,0.5388591385909074,0.39389708627521924,MODERATE,False
0.13811151277729022,0.4457863054780858,0.33810012803280737,WEAK,False
0.1497943633183133,0.3800445435622322,0.2994569804768606,WEAK,False
0.11644493678957529,0.32562890023335067,0.2524145130280293,WEAK,False
