agent_ip,src_ip,dest_ip,src_port,dest_port,proto,bytes_to_server,bytes_to_client,pkts_to_server,pkts_to_client,rule_level,total_bytes,total_packets,avg_packet_size,byte_asymmetry,packet_asymmetry,proto_num,src_ip_num,dest_ip_num,port_diff,log_bytes,log_packets,label,lof_pred,lof_score
10.21.232.55,10.21.232.55,10.24.0.193,42004.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-41951.0,4.890349128221754,0.6931471805599453,0,0,1.0207622663526172
10.21.232.55,10.24.0.193,10.21.232.55,53.0,42004.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,41951.0,5.796057750765372,1.0986122886681096,0,0,1.037349156208458
10.21.232.55,10.21.227.108,10.21.239.255,138.0,138.0,UDP,216,0,1,0,3,216,1,108.0,0.9953917050691244,0.5,2.0,4,33,0.0,5.37989735354046,0.6931471805599453,0,1,14.663686624906362
10.21.232.55,10.21.232.55,10.24.0.193,51265.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-51212.0,4.890349128221754,0.6931471805599453,0,0,1.2288418487822559
10.21.232.55,10.24.0.193,10.21.232.55,53.0,51265.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,51212.0,5.796057750765372,1.0986122886681096,0,0,1.0004822268301077
10.21.232.55,10.21.227.108,10.21.239.255,64204.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,4,33,-41982.0,4.262679877041316,0.6931471805599453,0,0,0.9852254325924813
10.21.232.55,10.21.227.108,10.21.239.255,57440.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,4,33,-35218.0,4.262679877041316,0.6931471805599453,0,0,0.9721940605798223
10.21.232.55,10.21.232.55,10.24.0.193,34874.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-34821.0,4.890349128221754,0.6931471805599453,0,0,1.0367525179867454
10.21.232.55,10.24.0.193,10.21.232.55,53.0,34874.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,34821.0,5.796057750765372,1.0986122886681096,0,0,1.0126384071452683
10.21.232.55,10.21.236.69,10.21.239.255,17500.0,17500.0,UDP,290,0,1,0,3,290,1,145.0,0.9965635738831616,0.5,2.0,23,33,0.0,5.673323267171493,0.6931471805599453,0,1,15.925837807750352
10.21.232.55,10.21.236.69,10.21.239.255,53950.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,23,33,-31728.0,4.262679877041316,0.6931471805599453,0,0,1.0153263527948715
10.21.232.55,10.21.236.69,10.21.239.255,49967.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,23,33,-27745.0,4.262679877041316,0.6931471805599453,0,0,1.0293246638766629
10.21.232.55,10.21.232.55,10.24.0.193,49350.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-49297.0,4.890349128221754,0.6931471805599453,0,0,0.9909305490688162
10.21.232.55,10.24.0.193,10.21.232.55,53.0,57761.0,UDP,132,132,1,1,3,264,2,88.0,0.0,0.0,2.0,26,22,57708.0,5.579729825986222,1.0986122886681096,0,0,9.154442172648292
10.21.232.55,10.21.236.69,10.21.239.255,63786.0,59870.0,UDP,239,0,1,0,3,239,1,119.5,0.9958333333333332,0.5,2.0,23,33,-3916.0,5.480638923341991,0.6931471805599453,0,0,1.1150758051100464
10.21.232.55,10.21.234.223,10.21.239.255,138.0,138.0,UDP,243,0,1,0,3,243,1,121.5,0.9959016393442623,0.5,2.0,20,33,0.0,5.497168225293202,0.6931471805599453,0,1,15.812714840071205
10.21.232.55,10.21.232.55,10.24.0.193,59899.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-59846.0,4.890349128221754,0.6931471805599453,0,0,1.0012873178379218
10.21.232.55,10.24.0.193,10.21.232.55,53.0,45524.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,45471.0,5.796057750765372,1.0986122886681096,0,0,1.0445524131795905
10.21.232.55,10.21.226.161,10.21.232.49,54859.0,137.0,UDP,92,0,1,0,3,92,1,46.0,0.989247311827957,0.5,2.0,2,20,-54722.0,4.532599493153256,0.6931471805599453,0,0,3.011056577607345
10.21.232.55,10.21.232.55,10.21.226.161,5353.0,58778.0,UDP,139,0,1,0,3,139,1,69.5,0.9928571428571428,0.5,2.0,17,4,53425.0,4.941642422609304,0.6931471805599453,0,1,45.53514997774188
10.21.232.55,10.21.232.55,10.21.227.115,137.0,137.0,UDP,104,0,1,0,3,104,1,52.0,0.9904761904761904,0.5,2.0,17,5,0.0,4.653960350157523,0.6931471805599453,0,0,2.020588594909813
10.21.232.55,10.21.232.55,10.24.0.193,33730.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-33677.0,4.890349128221754,0.6931471805599453,0,0,1.0223063080264965
10.21.232.55,10.24.0.193,10.21.232.55,53.0,33730.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,33677.0,5.796057750765372,1.0986122886681096,0,0,1.0014091994537808
10.21.232.55,10.21.227.136,10.21.239.255,57758.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,7,33,-35536.0,4.262679877041316,0.6931471805599453,0,0,1.2350143849195603
10.21.232.55,10.21.236.69,10.21.239.255,60128.0,59870.0,UDP,205,0,1,0,3,205,1,102.5,0.9951456310679612,0.5,2.0,23,33,-258.0,5.327876168789581,0.6931471805599453,0,0,0.953380760536997
10.21.232.55,10.21.232.49,10.21.239.255,57621.0,57621.0,UDP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,2.0,15,33,0.0,4.465908118654584,0.6931471805599453,0,0,1.0
10.21.232.55,10.21.232.89,10.21.239.255,57621.0,57621.0,UDP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,2.0,18,33,0.0,4.465908118654584,0.6931471805599453,0,1,4083814762.1097884
10.21.232.55,10.21.232.49,10.21.239.255,57621.0,57621.0,UDP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,2.0,15,33,0.0,4.465908118654584,0.6931471805599453,0,0,1.0
10.21.232.55,10.21.232.89,10.21.239.255,57621.0,57621.0,UDP,1032,0,12,0,3,1032,12,79.38461538461539,0.999031945788964,0.9230769230769232,2.0,18,33,0.0,6.940222469119639,2.5649493574615367,0,0,5.59656471954858
10.21.232.55,10.21.232.89,10.21.239.255,57621.0,57621.0,UDP,1892,0,22,0,3,1892,22,82.26086956521739,0.9994717379820393,0.9565217391304348,2.0,18,33,0.0,7.545918151209323,3.1354942159291497,0,0,5.6259575347254955
10.21.232.55,10.21.232.49,10.21.239.255,57621.0,57621.0,UDP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,2.0,15,33,0.0,4.465908118654584,0.6931471805599453,0,0,1.0
10.21.232.55,10.21.232.89,10.21.239.255,57621.0,57621.0,UDP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,2.0,18,33,0.0,4.465908118654584,0.6931471805599453,0,1,4083814762.1097884
10.21.232.55,10.21.232.49,10.21.239.255,57621.0,57621.0,UDP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,2.0,15,33,0.0,4.465908118654584,0.6931471805599453,0,0,1.0
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,0.0,29,38,0.0,4.465908118654584,0.6931471805599453,0,0,3.287088726283352
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,172,0,2,0,3,172,2,57.333333333333336,0.9942196531791908,0.6666666666666666,0.0,29,38,0.0,5.153291594497779,1.0986122886681096,0,0,3.2582648548595285
10.21.232.55,10.21.226.109,10.21.239.255,61953.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,1,33,-39731.0,4.262679877041316,0.6931471805599453,0,0,1.0389908381455055
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,0.0,29,38,0.0,4.465908118654584,0.6931471805599453,0,0,3.287088726283352
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,172,0,2,0,3,172,2,57.333333333333336,0.9942196531791908,0.6666666666666666,0.0,29,38,0.0,5.153291594497779,1.0986122886681096,0,0,3.2582648548595285
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,0.0,29,38,0.0,4.465908118654584,0.6931471805599453,0,0,3.287088726283352
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,172,0,2,0,3,172,2,57.333333333333336,0.9942196531791908,0.6666666666666666,0.0,29,38,0.0,5.153291594497779,1.0986122886681096,0,0,3.2582648548595285
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,0.0,29,38,0.0,4.465908118654584,0.6931471805599453,0,0,3.287088726283352
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,172,0,2,0,3,172,2,57.333333333333336,0.9942196531791908,0.6666666666666666,0.0,29,38,0.0,5.153291594497779,1.0986122886681096,0,0,3.2582648548595285
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,0.0,29,38,0.0,4.465908118654584,0.6931471805599453,0,0,3.287088726283352
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,172,0,2,0,3,172,2,57.333333333333336,0.9942196531791908,0.6666666666666666,0.0,29,38,0.0,5.153291594497779,1.0986122886681096,0,0,3.2582648548595285
10.21.232.55,10.21.234.223,10.21.239.255,138.0,138.0,UDP,243,0,1,0,3,243,1,121.5,0.9959016393442623,0.5,2.0,20,33,0.0,5.497168225293202,0.6931471805599453,0,1,15.812714840071205
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,0.0,29,38,0.0,4.465908118654584,0.6931471805599453,0,0,3.287088726283352
10.21.232.55,fe80:0000:0000:0000:b6b5:2fff:fef8:127c,ff05:0000:0000:0000:0000:0000:0000:000c,0.0,0.0,IPv6-ICMP,172,0,2,0,3,172,2,57.333333333333336,0.9942196531791908,0.6666666666666666,0.0,29,38,0.0,5.153291594497779,1.0986122886681096,0,0,3.2582648548595285
10.21.232.55,10.21.236.69,10.21.239.255,58320.0,59870.0,UDP,202,0,1,0,3,202,1,101.0,0.9950738916256158,0.5,2.0,23,33,1550.0,5.313205979041787,0.6931471805599453,0,0,0.9590311307651206
10.21.232.55,10.21.232.55,10.24.0.193,59073.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-59020.0,4.890349128221754,0.6931471805599453,0,0,0.9823452901533166
10.21.232.55,10.24.0.193,10.21.232.55,53.0,60852.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,60799.0,5.796057750765372,1.0986122886681096,0,0,1.0834365738151974
10.21.232.55,10.21.232.55,10.24.0.193,38878.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-38825.0,4.890349128221754,0.6931471805599453,0,0,1.001847249058231
10.21.232.55,10.24.0.193,10.21.232.55,53.0,38878.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,38825.0,5.796057750765372,1.0986122886681096,0,0,1.0264850542603492
10.21.232.55,10.21.227.108,10.21.239.255,64770.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,4,33,-42548.0,4.262679877041316,0.6931471805599453,0,0,0.9896327627197372
10.21.232.55,10.21.227.108,10.21.239.255,53624.0,22222.0,UDP,70,0,1,0,3,70,1,35.0,0.9859154929577464,0.5,2.0,4,33,-31402.0,4.262679877041316,0.6931471805599453,0,0,1.0188808555947158
10.21.232.55,10.21.232.49,10.21.239.255,57621.0,57621.0,UDP,86,0,1,0,3,86,1,43.0,0.9885057471264368,0.5,2.0,15,33,0.0,4.465908118654584,0.6931471805599453,0,0,1.0
10.21.232.55,10.21.232.55,10.24.0.193,36065.0,53.0,UDP,132,0,1,0,3,132,1,66.0,0.9924812030075189,0.5,2.0,17,35,-36012.0,4.890349128221754,0.6931471805599453,0,0,1.0882147966105231
10.21.232.55,10.24.0.193,10.21.232.55,53.0,39253.0,UDP,132,196,1,1,3,328,2,109.33333333333331,-0.1945288753799392,0.0,2.0,26,22,39200.0,5.796057750765372,1.0986122886681096,0,0,1.0969754624266266
